name,city,state,ein,ntee_code,total_revenue,ntee_major,source
LITTLE THEATER OF MANCHESTER,MANCHESTER,CT,,,,,irs_990pf
MACC MANCHESTER,MANCHESTER,CT,,,,,irs_990pf
MT WORDINGTON PEDIATRIC HOSPITAL,BALTIMORE,MD,,,,,irs_990pf
NATIONAL PARKS FOUNDATION,WASHINGTON,DC,,,,,irs_990pf
NATIONAL RIGHT TO LIFE,WASHINGTON,DC,,,,,irs_990pf
NEW COVENANT PRESBYTERIAN CHURCH,LEWES,DE,,,,,irs_990pf
NORTHWEST GUILFORD HIGH SCHOOL PTSC,GREENSBORO,NC,,,,,irs_990pf
OUT OF THE GARDEN PROJECT,GREENSBORO,NC,,,,,irs_990pf
PHI BETA KAPPA,WASHINGTON,DC,,,,,irs_990pf
PRINCETON UNIVERSITY CLASS OF 1963,NEW YORK,NY,,,,,irs_990pf
READY KIDS,CHARLOTTESVILLE,VA,,,,,irs_990pf
ROADS SCHOLAR,BOSTON,MA,,,,,irs_990pf
RYAN P HEALEY FOUNDATION,BALTIMORE,MD,,,,,irs_990pf
SALVATION ARMY,HARTFORD,CT,,,,,irs_990pf
SHELBURNE FARMS,SHELBURNE,VT,,,,,irs_990pf
SHELBURNE MUSEUM,SHELBURNE,VT,,,,,irs_990pf
SHRINERS HOSPITAL,TAMPA,FL,,,,,irs_990pf
SOC OF NORTH CAROLINA,RALEIGH,NC,,,,,irs_990pf
SOUTH WINDSOR COMMUNITY FOUNDATION INC,SOUTH WINDSOR,CT,,,,,irs_990pf
SOUTH WINDSOR FIRE DEPARTMENT,SOUTH WINDSOR,CT,,,,,irs_990pf
SOUTH WINDSOR FUEL FOOD BANK,SOUTH WINDSOR,CT,,,,,irs_990pf
SOUTH WINDSOR HISTORICAL SOCIETY,SOUTH WINDSOR,CT,,,,,irs_990pf
ST PAUL THE APOSTLE CATHOLIC CHURCH,GREENSBORO,NC,,,,,irs_990pf
SUSSEX PREGNANCY CARE CENTER,GEORGETOWN,DE,,,,,irs_990pf
